Time,T° 600,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
7:30:00,24.5,0.081,0.081,0.08,0.087,0.082,0.102,0.081,0.082,0.079,0.153,0.133,0.213,0.128,0.186,0.132,0.081,0.085,0.127,0.134,0.127,0.126,0.127,0.131,0.081,0.08,0.147,0.136,0.175,0.126,0.187,0.131,0.081,0.083,0.126,0.128,0.134,0.13,0.132,0.135,0.083,0.081,0.084,0.082,0.083,0.081,0.08,0.08,0.084
8:00:00,24.5,0.081,0.081,0.08,0.087,0.081,0.101,0.081,0.082,0.079,0.158,0.134,0.213,0.128,0.19,0.132,0.081,0.085,0.127,0.134,0.127,0.126,0.127,0.131,0.081,0.08,0.149,0.137,0.186,0.126,0.199,0.131,0.081,0.083,0.127,0.128,0.134,0.13,0.132,0.134,0.082,0.081,0.084,0.082,0.082,0.082,0.08,0.08,0.084
8:30:00,24.5,0.081,0.081,0.08,0.087,0.082,0.102,0.081,0.082,0.079,0.157,0.134,0.212,0.128,0.199,0.132,0.081,0.085,0.128,0.134,0.127,0.126,0.127,0.131,0.082,0.08,0.151,0.137,0.189,0.126,0.189,0.131,0.081,0.083,0.127,0.129,0.134,0.131,0.132,0.134,0.082,0.081,0.084,0.082,0.083,0.082,0.08,0.081,0.084
9:00:00,24.5,0.081,0.081,0.08,0.087,0.082,0.102,0.081,0.082,0.079,0.156,0.134,0.219,0.128,0.207,0.132,0.081,0.085,0.128,0.134,0.127,0.126,0.127,0.131,0.081,0.08,0.147,0.138,0.193,0.126,0.205,0.131,0.081,0.083,0.127,0.129,0.135,0.13,0.132,0.134,0.083,0.081,0.084,0.082,0.083,0.082,0.08,0.081,0.084
9:30:00,24.5,0.081,0.081,0.08,0.087,0.081,0.102,0.081,0.082,0.079,0.154,0.137,0.25,0.128,0.21,0.132,0.081,0.085,0.128,0.134,0.127,0.126,0.127,0.131,0.082,0.08,0.147,0.138,0.197,0.126,0.187,0.131,0.081,0.083,0.127,0.129,0.135,0.13,0.132,0.134,0.083,0.082,0.084,0.082,0.083,0.082,0.081,0.08,0.084
10:00:00,24.5,0.081,0.081,0.08,0.086,0.081,0.102,0.081,0.082,0.079,0.154,0.136,0.219,0.128,0.214,0.132,0.081,0.085,0.128,0.134,0.127,0.126,0.126,0.131,0.081,0.08,0.15,0.138,0.197,0.126,0.187,0.131,0.081,0.083,0.127,0.129,0.135,0.131,0.132,0.134,0.083,0.081,0.084,0.082,0.083,0.082,0.081,0.081,0.084
10:30:00,24.5,0.081,0.081,0.081,0.087,0.082,0.102,0.081,0.083,0.079,0.158,0.137,0.228,0.128,0.221,0.132,0.082,0.085,0.128,0.135,0.127,0.126,0.127,0.131,0.082,0.08,0.152,0.139,0.191,0.126,0.196,0.131,0.081,0.083,0.127,0.129,0.135,0.131,0.132,0.134,0.083,0.081,0.085,0.082,0.083,0.082,0.081,0.081,0.084
11:00:00,24.5,0.081,0.081,0.08,0.081,0.082,0.102,0.081,0.083,0.079,0.164,0.139,0.235,0.128,0.241,0.132,0.081,0.085,0.128,0.135,0.127,0.126,0.126,0.131,0.082,0.08,0.153,0.139,0.2,0.126,0.202,0.131,0.081,0.083,0.127,0.129,0.135,0.131,0.132,0.134,0.083,0.081,0.084,0.083,0.083,0.082,0.081,0.081,0.084
11:30:00,24.5,0.082,0.081,0.08,0.081,0.082,0.102,0.082,0.083,0.08,0.163,0.14,0.242,0.128,0.23,0.132,0.082,0.085,0.128,0.135,0.127,0.126,0.127,0.131,0.082,0.081,0.157,0.14,0.208,0.126,0.192,0.131,0.081,0.083,0.127,0.129,0.135,0.131,0.132,0.134,0.083,0.081,0.085,0.083,0.083,0.082,0.081,0.081,0.085
12:00:00,24.5,0.081,0.081,0.08,0.081,0.081,0.104,0.081,0.083,0.079,0.17,0.141,0.269,0.128,0.233,0.132,0.082,0.085,0.128,0.135,0.127,0.126,0.126,0.131,0.082,0.08,0.16,0.14,0.215,0.126,0.216,0.131,0.081,0.083,0.127,0.129,0.135,0.131,0.132,0.134,0.083,0.081,0.084,0.083,0.083,0.082,0.081,0.081,0.084
