Time,T° 600,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
13:00:00,24.6,0.081,0.084,0.082,0.08,0.082,0.083,0.083,0.083,0.083,0.22,0.128,0.205,0.126,0.194,0.128,0.082,0.081,0.128,0.129,0.125,0.126,0.128,0.126,0.088,0.081,0.217,0.126,0.243,0.126,0.238,0.127,0.081,0.081,0.125,0.132,0.128,0.126,0.126,0.129,0.099,0.09,0.083,0.082,0.081,0.084,0.082,0.082,0.093
13:30:00,24.6,0.082,0.085,0.08,0.08,0.082,0.082,0.083,0.082,0.083,0.206,0.128,0.191,0.126,0.186,0.127,0.082,0.081,0.128,0.129,0.125,0.125,0.127,0.126,0.088,0.081,0.227,0.126,0.244,0.125,0.249,0.126,0.081,0.081,0.125,0.132,0.127,0.126,0.126,0.129,0.098,0.09,0.083,0.082,0.081,0.083,0.082,0.082,0.093
14:00:00,24.5,0.081,0.084,0.08,0.08,0.082,0.083,0.083,0.083,0.084,0.192,0.128,0.178,0.126,0.178,0.127,0.082,0.081,0.128,0.129,0.125,0.126,0.127,0.126,0.088,0.081,0.229,0.127,0.243,0.126,0.246,0.127,0.081,0.081,0.125,0.132,0.128,0.126,0.126,0.13,0.099,0.09,0.083,0.082,0.081,0.084,0.082,0.082,0.093
14:30:00,24.5,0.083,0.086,0.08,0.08,0.082,0.082,0.083,0.083,0.084,0.175,0.128,0.172,0.126,0.177,0.127,0.082,0.081,0.128,0.128,0.125,0.125,0.127,0.126,0.088,0.081,0.236,0.126,0.246,0.125,0.255,0.126,0.081,0.081,0.125,0.132,0.128,0.126,0.126,0.129,0.099,0.09,0.083,0.082,0.081,0.083,0.082,0.082,0.093
15:00:00,24.5,0.082,0.083,0.08,0.08,0.082,0.083,0.083,0.083,0.083,0.175,0.128,0.17,0.126,0.173,0.127,0.082,0.081,0.128,0.129,0.125,0.125,0.127,0.126,0.088,0.081,0.239,0.127,0.239,0.125,0.257,0.126,0.081,0.081,0.124,0.132,0.127,0.126,0.126,0.129,0.098,0.09,0.083,0.082,0.08,0.084,0.082,0.082,0.093
15:30:00,24.5,0.085,0.084,0.08,0.08,0.082,0.082,0.083,0.083,0.083,0.177,0.128,0.172,0.126,0.172,0.127,0.082,0.081,0.128,0.129,0.125,0.126,0.127,0.126,0.088,0.081,0.236,0.127,0.253,0.125,0.256,0.126,0.081,0.081,0.125,0.132,0.127,0.126,0.126,0.129,0.099,0.09,0.083,0.082,0.081,0.084,0.082,0.082,0.093
16:00:00,24.5,0.08,0.084,0.08,0.08,0.082,0.083,0.083,0.083,0.084,0.18,0.128,0.175,0.126,0.173,0.127,0.082,0.081,0.128,0.129,0.125,0.126,0.128,0.126,0.088,0.081,0.243,0.127,0.25,0.125,0.254,0.126,0.081,0.081,0.125,0.132,0.128,0.126,0.126,0.129,0.099,0.09,0.083,0.082,0.081,0.084,0.082,0.082,0.093
16:30:00,24.4,0.081,0.084,0.08,0.08,0.082,0.083,0.083,0.083,0.083,0.188,0.128,0.18,0.126,0.175,0.127,0.082,0.081,0.128,0.129,0.126,0.126,0.127,0.126,0.088,0.081,0.248,0.127,0.265,0.126,0.262,0.126,0.081,0.081,0.125,0.132,0.128,0.126,0.126,0.129,0.099,0.09,0.083,0.082,0.081,0.085,0.083,0.082,0.093
17:00:00,24.4,0.08,0.084,0.081,0.08,0.082,0.082,0.083,0.083,0.083,0.182,0.128,0.194,0.126,0.177,0.127,0.082,0.081,0.128,0.128,0.125,0.125,0.127,0.125,0.088,0.081,0.261,0.127,0.262,0.125,0.266,0.126,0.081,0.081,0.124,0.132,0.127,0.126,0.126,0.129,0.099,0.089,0.083,0.082,0.081,0.085,0.082,0.082,0.093
17:30:00,24.5,0.081,0.083,0.08,0.08,0.082,0.082,0.083,0.083,0.083,0.176,0.128,0.182,0.126,0.18,0.127,0.082,0.081,0.128,0.128,0.125,0.125,0.127,0.126,0.088,0.081,0.26,0.126,0.257,0.125,0.259,0.126,0.081,0.081,0.124,0.132,0.128,0.126,0.126,0.129,0.099,0.09,0.083,0.082,0.081,0.085,0.082,0.083,0.093
18:00:00,24.5,0.082,0.084,0.08,0.08,0.082,0.082,0.083,0.083,0.083,0.175,0.128,0.182,0.126,0.184,0.127,0.082,0.082,0.128,0.129,0.125,0.125,0.127,0.126,0.088,0.081,0.265,0.127,0.251,0.125,0.253,0.126,0.081,0.081,0.124,0.132,0.128,0.126,0.126,0.129,0.099,0.089,0.083,0.082,0.081,0.085,0.082,0.082,0.093
